V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mturkcode,Q44,A_ACC,A_UNI,A_DEC,B_ACC,B_UNI,B_DEC,COFFEE,Q48,SEX,AGE,Q233,LocationLatitude,LocationLongitude,LocationAccuracy
R_3mZuDa7gTaV90mp,Default Response Set,Anonymous,,,24.208.57.238,0,5/22/2014 10:05,5/22/2014 10:06,1,39392,1,,,,3,,,1,1,1,24,1,44.24530029,-88.3647995,-1
R_bkYDmfHMfKdWlN3,Default Response Set,Anonymous,,,64.64.32.4,0,5/22/2014 10:06,5/22/2014 10:06,1,67544,1,,,,,1,,2,1,1,31,1,40.54490662,-75.40260315,-1
R_3h4n6TsVGqxr9l3,Default Response Set,Anonymous,,,50.244.113.249,0,5/22/2014 10:05,5/22/2014 10:06,1,55100,1,,,2,,,,1,1,2,36,1,29.76330566,-95.36329651,-1
R_6nWMKW86t0hMZLf,Default Response Set,Anonymous,,,170.119.0.39,0,5/22/2014 10:06,5/22/2014 10:06,1,14093,1,3,,,,,,1,1,1,26,1,38.25419617,-85.75939941,-1
R_787gOJQ59zIjnCt,Default Response Set,Anonymous,,,50.136.42.144,0,5/22/2014 10:06,5/22/2014 10:06,1,58369,1,,,,,3,,1,1,1,27,1,41.66229248,-71.01069641,-1
R_bkF2SklKfKIqEHX,Default Response Set,Anonymous,,,71.191.49.250,0,5/22/2014 10:06,5/22/2014 10:07,1,89967,1,,,1,,,,2,1,1,24,1,38.96899414,-76.85369873,-1
R_8FUYoeV17n6SmjP,Default Response Set,Anonymous,,,70.194.8.242,0,5/22/2014 10:06,5/22/2014 10:07,1,29421,1,,,,,,2,1,1,1,35,1,42.89489746,-84.00920105,-1
R_agSV7EELMBDvWF7,Default Response Set,Anonymous,,,24.206.46.226,0,5/22/2014 10:06,5/22/2014 10:07,1,32747,1,,3,,,,,1,1,2,28,1,35.9940033,-78.89859772,-1
R_88uHQPH3h0xvsRn,Default Response Set,Anonymous,,,67.160.212.239,0,5/22/2014 10:06,5/22/2014 10:07,1,54330,1,,1,,,,,1,1,1,59,1,37.77349854,-122.278801,-1
R_0NZ6Wx23VMWSpSd,Default Response Set,Anonymous,,,98.250.6.225,0,5/22/2014 10:06,5/22/2014 10:07,1,30273,1,,,2,,,,1,1,1,20,1,42.70419312,-84.40979767,-1
R_5vR2qjIqvJVQT1b,Default Response Set,Anonymous,,,75.111.248.177,0,5/22/2014 10:07,5/22/2014 10:07,1,60959,1,,3,,,,,1,1,1,23,1,33.47210693,-101.9397964,-1
R_9MkRu0Pv2dcQH09,Default Response Set,Anonymous,,,71.244.52.230,0,5/22/2014 10:06,5/22/2014 10:07,1,13702,1,,,,1,,,1,1,1,33,1,33.10879517,-97.16649628,-1
R_d6Y2JLavCiybvdb,Default Response Set,Anonymous,,,74.128.141.172,0,5/22/2014 10:06,5/22/2014 10:07,1,60621,1,,,,,1,,2,1,2,22,1,37.92070007,-84.41770172,-1
R_0UhKpEtpKXbQfWZ,Default Response Set,Anonymous,,,208.38.34.166,0,5/22/2014 10:07,5/22/2014 10:07,1,59546,1,,,,,,2,1,1,1,28,1,53.55000305,-113.5,-1
R_0SNBymBMStbajjf,Default Response Set,Anonymous,,,70.194.4.193,0,5/22/2014 10:06,5/22/2014 10:07,1,18591,1,,,,,,1,1,1,2,36,1,42.6625061,-84.06739807,-1
R_0vJUTatIAGLxqBL,Default Response Set,Anonymous,,,63.137.150.235,0,5/22/2014 10:07,5/22/2014 10:07,1,800,1,,,,,,3,1,1,2,21,1,38.6499939,-90.53340149,-1
R_0fuS8GmYJfpyfWd,Default Response Set,Anonymous,,,74.132.87.78,0,5/22/2014 10:07,5/22/2014 10:07,1,16451,1,,,3,,,,1,1,2,30,1,38.25900269,-85.6608963,-1
R_af4MDT99r8f3A2h,Default Response Set,Anonymous,,,192.234.2.18,0,5/22/2014 10:07,5/22/2014 10:08,1,34168,1,3,,,,,,1,1,1,40,1,41.67179871,-72.94930267,-1
R_dgSMKVD3AXADkMt,Default Response Set,Anonymous,,,67.133.209.85,0,5/22/2014 10:03,5/22/2014 10:08,1,89816,1,1,,,,,,1,1,1,26,1,39.20050049,-84.57499695,-1
R_43jD5IV0Zuofaap,Default Response Set,Anonymous,,,24.34.214.47,0,5/22/2014 10:07,5/22/2014 10:08,1,49697,1,,,,,1,,1,1,1,24,1,42.79589844,-71.05699921,-1
R_brQ0AeDKiKoBR5j,Default Response Set,Anonymous,,,96.21.98.122,0,5/22/2014 10:06,5/22/2014 10:08,1,46946,1,2,,,,,,2,1,1,21,1,45.50190735,-73.58529663,-1
R_cwgMu7X0hnRTH2l,Default Response Set,Anonymous,,,70.166.108.122,0,5/22/2014 10:07,5/22/2014 10:08,1,16737,1,,,2,,,,2,1,1,31,1,33.44839478,-112.0739975,-1
R_aXFobjJLpp9lsC9,Default Response Set,Anonymous,,,96.2.109.240,0,5/22/2014 10:07,5/22/2014 10:08,1,75416,1,,3,,,,,2,1,1,39,1,45.58560181,-93.61569977,-1
R_8ixU1FdxKK348YZ,Default Response Set,Anonymous,,,108.249.132.57,0,5/22/2014 10:07,5/22/2014 10:08,1,30445,1,,,,,,2,2,1,2,32,1,37.93580627,-122.3478012,-1
R_3WxyjXdJW6qzPUh,Default Response Set,Anonymous,,,70.129.21.1,0,5/22/2014 10:08,5/22/2014 10:09,1,21935,1,,,,,,2,2,1,2,26,1,29.42410278,-98.49359894,-1
R_3kLWpuIPt1RVJCB,Default Response Set,Anonymous,,,74.232.56.151,0,5/22/2014 10:08,5/22/2014 10:09,1,77381,1,3,,,,,,1,1,1,36,1,33.770401,-85.0114975,-1
R_9KnK6zPqLjwYnOZ,Default Response Set,Anonymous,,,107.145.180.88,0,5/22/2014 10:09,5/22/2014 10:09,1,31613,1,,3,,,,,1,1,1,20,1,28.88409424,-81.23480225,-1
R_eezUPniC92yVyq9,Default Response Set,Anonymous,,,149.166.96.49,0,5/22/2014 10:08,5/22/2014 10:09,1,91035,1,,,,,,2,1,1,1,29,1,39.78509521,-86.16649628,-1
R_eXMdw5nZtSFbuHr,Default Response Set,Anonymous,,,184.186.27.149,0,5/22/2014 10:09,5/22/2014 10:10,1,76712,1,,,,,,3,2,1,1,24,1,29.90490723,-89.9611969,-1
R_0TJfAjzJBKvFBVH,Default Response Set,Anonymous,,,216.14.178.242,0,5/22/2014 10:09,5/22/2014 10:10,1,23199,1,1,,,,,,1,1,2,27,1,44.97999573,-93.26380157,-1
R_78kF1bbc5Z9Lm0B,Default Response Set,Anonymous,,,99.107.179.220,0,5/22/2014 10:08,5/22/2014 10:10,1,28207,1,,,,,,1,1,1,1,26,1,41.09979248,-80.64949799,-1
R_7aK8Eu0BrpdLev3,Default Response Set,Anonymous,,,108.17.7.16,0,5/22/2014 10:09,5/22/2014 10:10,1,37082,1,,,1,,,,2,1,1,26,1,42.97419739,-78.84809875,-1
R_eEEHWm4fWFmkhSZ,Default Response Set,Anonymous,,,75.10.133.90,0,5/22/2014 10:09,5/22/2014 10:10,1,67370,1,,,,2,,,1,1,1,42,1,41.49949646,-81.69539642,-1
R_4U56owjshyOCTPf,Default Response Set,Anonymous,,,166.170.56.117,0,5/22/2014 10:09,5/22/2014 10:11,1,28712,1,,,,,2,,1,1,1,25,1,36.16589355,-86.78440094,-1
R_8csmsPVB99zevOZ,Default Response Set,Anonymous,,,108.94.138.115,0,5/22/2014 10:05,5/22/2014 10:11,1,19202,1,,,,2,,,1,1,2,47,1,34.02850342,-118.3177032,-1
R_d5O742SeDNNlaRL,Default Response Set,Anonymous,,,68.64.115.201,0,5/22/2014 10:10,5/22/2014 10:11,1,91177,1,,2,,,,,1,1,1,60,1,37.33540344,-82.95659637,-1
R_0O0Ej7VTSeFwIE5,Default Response Set,Anonymous,,,139.67.17.50,0,5/22/2014 10:10,5/22/2014 10:11,1,10241,1,,,2,,,,1,1,1,40,1,39.49949646,-88.15809631,-1
R_573Px1AKoTr8oKx,Default Response Set,Anonymous,,,108.236.121.225,0,5/22/2014 10:11,5/22/2014 10:11,1,25869,1,,,,,3,,2,1,1,22,1,30.06889343,-81.56210327,-1
R_29yqniT5E74bRAx,Default Response Set,Anonymous,,,96.245.25.37,0,5/22/2014 10:11,5/22/2014 10:11,1,619,1,,,,1,,,2,1,1,27,1,40.60839844,-75.49019623,-1
R_9n7XmiSC76KM33f,Default Response Set,Anonymous,,,50.137.184.146,0,5/22/2014 10:11,5/22/2014 10:12,1,34023,1,3,,,,,,1,1,2,26,1,45.48179626,-122.6004944,-1
R_b3LbCRoXfKIAEHb,Default Response Set,Anonymous,,,70.91.221.125,0,5/22/2014 10:11,5/22/2014 10:12,1,40881,1,,1,,,,,1,1,1,27,1,41.86480713,-72.68190002,-1
R_3EJI9GPF6z8TgLH,Default Response Set,Anonymous,,,99.127.61.164,0,5/22/2014 10:11,5/22/2014 10:12,1,462,1,,,,2,,,1,1,2,34,1,27.24980164,-80.37969971,-1
R_06ZJmTkFBVFJTmZ,Default Response Set,Anonymous,,,24.112.77.243,0,5/22/2014 10:12,5/22/2014 10:13,1,39447,1,,,,,3,,1,1,1,35,1,36.55299377,-83.54769897,-1
R_2isNJfPjpnGXldj,Default Response Set,Anonymous,,,74.79.149.197,0,5/22/2014 10:12,5/22/2014 10:13,1,9098,1,1,,,,,,2,1,2,21,1,42.40719604,-76.51589966,-1
R_0pN2rn0E0vsm1cp,Default Response Set,Anonymous,,,50.147.208.81,0,5/22/2014 10:13,5/22/2014 10:13,1,38681,1,,1,,,,,2,1,1,21,1,33.73629761,-83.99199677,-1
R_9ZWMe00dbXGNvA9,Default Response Set,Anonymous,,,50.80.134.124,0,5/22/2014 10:14,5/22/2014 10:15,1,68898,1,,,,2,,,1,1,2,40,1,44.9776001,-95.48760223,-1
R_8umBL7I5KQSv2lL,Default Response Set,Anonymous,,,68.173.19.56,0,5/22/2014 10:14,5/22/2014 10:15,1,67328,1,,,,,,1,2,1,1,27,1,40.73170471,-73.9885025,-1
R_daqNQ57HWbYsPEV,Default Response Set,Anonymous,,,24.246.130.132,0,5/22/2014 10:14,5/22/2014 10:15,1,71267,1,,,3,,,,1,1,1,21,1,35.25210571,-83.18710327,-1
R_0xrh8H2aZKpYvDn,Default Response Set,Anonymous,,,12.71.108.206,0,5/22/2014 10:15,5/22/2014 10:16,1,21925,1,3,,,,,,1,1,2,46,1,42.45550537,-96.45349884,-1
R_bNG4Pndaun6iYo5,Default Response Set,Anonymous,,,198.133.173.29,0,5/22/2014 10:15,5/22/2014 10:16,1,58781,1,,,,,1,,1,1,1,24,1,41.00810242,-73.94409943,-1
R_0wALo3YpnpYbiPb,Default Response Set,Anonymous,,,71.62.125.66,0,5/22/2014 10:16,5/22/2014 10:16,1,83611,1,,3,,,,,1,1,1,34,1,37.26690674,-80.43250275,-1
R_0SwBrxJEEsSTtLT,Default Response Set,Anonymous,,,72.78.204.15,0,5/22/2014 10:15,5/22/2014 10:16,1,49587,1,,,,,,1,2,1,2,28,1,39.61549377,-75.70439911,-1
R_eWd9RoodtKYS0O9,Default Response Set,Anonymous,,,76.182.122.151,0,5/22/2014 10:16,5/22/2014 10:17,1,6509,1,,,1,,,,2,1,1,31,1,36.0901947,-78.2154007,-1
R_cO06SsUUeeiEtpj,Default Response Set,Anonymous,,,24.24.234.197,0,5/22/2014 10:16,5/22/2014 10:17,1,99909,1,,,,,,1,2,1,1,26,1,34.29420471,-118.5070953,-1
R_7TKi2vG396CyoLz,Default Response Set,Anonymous,,,173.161.230.237,0,5/22/2014 10:17,5/22/2014 10:17,1,8357,1,,,1,,,,1,1,1,30,1,40.08929443,-75.39600372,-1
R_5hZyysw02Aqezad,Default Response Set,Anonymous,,,98.192.165.255,0,5/22/2014 10:17,5/22/2014 10:17,1,49098,1,,,,,1,,1,1,2,45,1,36.76829529,-119.7628021,-1
R_5cJdQLKJ0fOpTi5,Default Response Set,Anonymous,,,70.138.58.249,0,5/22/2014 10:17,5/22/2014 10:17,1,48145,1,,,,,,1,1,1,2,25,1,29.76860046,-95.50440216,-1
R_9Zg33ra5oTevGct,Default Response Set,Anonymous,,,70.194.202.240,0,5/22/2014 10:17,5/22/2014 10:18,1,66593,1,3,,,,,,2,1,1,28,1,41.08140564,-81.51899719,-1
R_07HgCaDmTzIsNOl,Default Response Set,Anonymous,,,184.89.150.222,0,5/22/2014 10:18,5/22/2014 10:19,1,16822,1,,,,,1,,2,1,1,28,1,28.32600403,-81.3513031,-1
R_9AlzCEhBoXcpM9L,Default Response Set,Anonymous,,,24.8.91.236,0,5/22/2014 10:18,5/22/2014 10:19,1,66614,1,3,,,,,,2,1,1,31,1,39.9355011,-105.0473022,-1
R_3aCjJv8mDO9EpFj,Default Response Set,Anonymous,,,206.104.135.58,0,5/22/2014 10:14,5/22/2014 10:20,1,29367,1,,1,,,,,1,1,1,32,1,40.65010071,-73.94960022,-1
R_4HgqNCItsGvLM7b,Default Response Set,Anonymous,,,74.209.44.177,0,5/22/2014 10:20,5/22/2014 10:20,1,46660,1,,,,,1,,1,1,2,21,1,44.10029602,-70.9265976,-1
R_9REPZsipVvekakl,Default Response Set,Anonymous,,,199.61.25.254,0,5/22/2014 10:20,5/22/2014 10:21,1,63813,1,,,,3,,,1,1,1,26,1,40.79679871,-74.48149872,-1
R_6sqmdklevqFJZQ1,Default Response Set,Anonymous,,,68.64.115.201,0,5/22/2014 10:20,5/22/2014 10:21,1,20188,1,,,1,,,,1,1,2,52,1,37.33540344,-82.95659637,-1
R_eXz0PfAR11hSJXT,Default Response Set,Anonymous,,,64.134.186.216,0,5/22/2014 10:19,5/22/2014 10:21,1,54727,1,2,,,,,,2,1,2,22,1,38,-97,-1
R_a5J2jAGsbO0duDP,Default Response Set,Anonymous,,,128.249.96.18,0,5/22/2014 10:21,5/22/2014 10:22,1,35050,1,,,,,,2,1,1,1,45,1,29.707901,-95.40100098,-1
R_8jg0MNAEbyAK5QV,Default Response Set,Anonymous,,,68.12.246.220,0,5/22/2014 10:21,5/22/2014 10:22,1,93737,1,,,,2,,,2,1,1,38,1,35.54229736,-97.61889648,-1
R_5dIMyrJZG67ID1b,Default Response Set,Anonymous,,,65.25.3.52,0,5/22/2014 10:21,5/22/2014 10:22,1,98753,1,,,1,,,,1,1,1,34,1,41.85279846,-80.79049683,-1
R_9NtLs49x9EEhrtb,Default Response Set,Anonymous,,,8.22.192.10,0,5/22/2014 10:21,5/22/2014 10:23,1,75700,1,,1,,,,,1,1,1,29,1,38,-97,-1
R_42QaSVQI6HvPgDb,Default Response Set,Anonymous,,,147.226.174.132,0,5/22/2014 10:22,5/22/2014 10:23,1,59071,1,,,,3,,,1,1,2,22,1,40.20230103,-85.40820313,-1
R_cuJPd89oMQMZntX,Default Response Set,Anonymous,,,157.229.149.193,0,5/22/2014 10:22,5/22/2014 10:23,1,10559,1,,,1,,,,1,1,2,24,1,40.65939331,-80.09329987,-1
R_aaumhKckvA5phxH,Default Response Set,Anonymous,,,70.190.160.159,0,5/22/2014 10:22,5/22/2014 10:23,1,16649,1,,,,3,,,1,1,2,20,1,31.59179688,-110.1718979,-1
R_2agl8wh9tfNHmOF,Default Response Set,Anonymous,,,67.81.80.166,0,5/22/2014 10:22,5/22/2014 10:23,1,43321,1,3,,,,,,2,1,1,21,1,40.57670593,-74.36740112,-1
R_bl8kFWoVUQTFdMV,Default Response Set,Anonymous,,,209.6.128.140,0,5/22/2014 10:23,5/22/2014 10:23,1,34853,1,,,,1,,,2,1,1,32,1,42.31889343,-71.15039825,-1
R_2fRAt06Nui9TC8l,Default Response Set,Anonymous,,,174.69.226.34,0,5/22/2014 10:23,5/22/2014 10:24,1,58907,1,1,,,,,,2,1,1,26,1,30.45069885,-91.15460205,-1
R_09zhFgxnsU6kyLb,Default Response Set,Anonymous,,,24.125.49.80,0,5/22/2014 10:23,5/22/2014 10:24,1,67690,1,,,2,,,,2,1,1,24,1,37.06669617,-80.79170227,-1
R_b2YI0wTUmDAy3KR,Default Response Set,Anonymous,,,76.23.104.183,0,5/22/2014 10:23,5/22/2014 10:24,1,90582,1,,2,,,,,1,1,2,23,1,32.98779297,-80.00569916,-1
R_0J0C4zf4mGtTIpv,Default Response Set,Anonymous,,,174.71.33.221,0,5/22/2014 10:24,5/22/2014 10:25,1,82660,1,,,,,,1,1,1,1,24,1,41.29930115,-96.16660309,-1
R_6MursFYfzmvhbSd,Default Response Set,Anonymous,,,85.183.206.154,0,5/22/2014 10:24,5/22/2014 10:25,1,34836,1,,,,3,,,1,1,2,21,1,53.55000305,10,-1
R_5histwQ58CVSEwR,Default Response Set,Anonymous,,,75.38.196.242,0,5/22/2014 10:24,5/22/2014 10:25,1,77250,1,,,2,,,,2,1,1,24,1,42.20610046,-83.62280273,-1
R_2bhrttUsaVJGlBb,Default Response Set,Anonymous,,,24.187.218.26,0,5/22/2014 10:22,5/22/2014 10:25,1,74584,1,,,,,1,,2,1,2,26,1,40.90049744,-74.70110321,-1
R_bqgBJa5FcAktAON,Default Response Set,Anonymous,,,76.186.191.210,0,5/22/2014 10:25,5/22/2014 10:25,1,2994,1,,,,,2,,2,1,1,38,1,33.08560181,-96.6115036,-1
R_5yTQd4I1oXzhgxL,Default Response Set,Anonymous,,,69.205.206.93,0,5/22/2014 10:25,5/22/2014 10:26,1,21782,1,,1,,,,,1,1,2,20,1,41.83239746,-75.93869781,-1
R_9mdh1pCaptLQLY1,Default Response Set,Anonymous,,,98.211.110.216,0,5/22/2014 10:26,5/22/2014 10:27,1,39134,1,,,,3,,,1,1,2,23,1,38.35099792,-75.54460144,-1
R_dmYvHU3xliWeo0B,Default Response Set,Anonymous,,,47.17.65.178,0,5/22/2014 10:26,5/22/2014 10:27,1,2443,1,1,,,,,,2,1,1,24,1,40.15240479,-74.19779968,-1
R_8lh5dTuO6Vz39LT,Default Response Set,Anonymous,,,99.118.153.112,0,5/22/2014 10:27,5/22/2014 10:28,1,76350,1,3,,,,,,1,1,1,32,1,38.66569519,-90.32309723,-1
R_b90b6kyNwEXLXmZ,Default Response Set,Anonymous,,,70.43.186.254,0,5/22/2014 10:27,5/22/2014 10:28,1,98993,1,,,,,,1,2,1,1,23,1,36.16589355,-86.78440094,-1
R_86Ml7gauWBn8CY5,Default Response Set,Anonymous,,,99.120.252.26,0,5/22/2014 10:27,5/22/2014 10:28,1,44992,1,,,,1,,,2,1,1,36,1,41.52000427,-88.2016983,-1
R_cNOXHGOakJOtsBT,Default Response Set,Anonymous,,,162.17.192.9,0,5/22/2014 10:28,5/22/2014 10:28,1,34024,1,,,,,1,,2,1,1,23,1,38.89509583,-77.03639984,-1
R_85Jb2gapJr5koEl,Default Response Set,Anonymous,,,63.152.121.142,0,5/22/2014 10:28,5/22/2014 10:29,1,59521,1,,,,3,,,1,1,2,31,1,41.66110229,-91.53019714,-1
R_6u81SRe89AyxEQB,Default Response Set,Anonymous,,,68.254.162.184,0,5/22/2014 10:28,5/22/2014 10:29,1,79085,1,,1,,,,,2,1,1,26,1,43.06059265,-88.10649872,-1
R_0U2ZUjNgUMIhmjb,Default Response Set,Anonymous,,,24.192.226.210,0,5/22/2014 10:28,5/22/2014 10:29,1,45370,1,,1,,,,,1,1,2,46,1,41.99859619,-87.90280151,-1
R_85MMItDOTa4s2SV,Default Response Set,Anonymous,,,198.185.164.120,0,5/22/2014 10:29,5/22/2014 10:29,1,88368,1,,,,,,2,1,1,1,29,1,40.76620483,-73.98619843,-1
R_3DiVtCCunCQR0rj,Default Response Set,Anonymous,,,63.137.145.225,0,5/22/2014 10:29,5/22/2014 10:29,1,10073,1,,,2,,,,1,1,2,35,1,38.6499939,-90.53340149,-1
R_7UqPu5hTG3QdVfT,Default Response Set,Anonymous,,,76.181.42.128,0,5/22/2014 10:28,5/22/2014 10:30,1,33934,1,,,1,,,,1,1,1,35,1,40.10180664,-83.07299805,-1
R_exhZ5wHqHeRASK9,Default Response Set,Anonymous,,,67.149.200.30,0,5/22/2014 10:29,5/22/2014 10:30,1,7571,1,3,,,,,,1,1,1,26,1,42.65800476,-83.18430328,-1
R_cVaZSbuDIPUOvzL,Default Response Set,Anonymous,,,98.220.131.79,0,5/22/2014 10:29,5/22/2014 10:30,1,10146,1,,,,3,,,1,1,1,22,1,40.0697937,-85.98169708,-1
R_daR5xJuoEyUCAiV,Default Response Set,Anonymous,,,192.183.39.233,0,5/22/2014 10:30,5/22/2014 10:30,1,96045,1,2,,,,,,1,1,2,33,1,42.31280518,-86.08129883,-1
R_8pGnLUAovrq2oIZ,Default Response Set,Anonymous,,,159.45.71.11,0,5/22/2014 10:30,5/22/2014 10:31,1,45376,1,,,,,2,,1,1,2,27,1,38.63040161,-90.21649933,-1
R_37VHPawGItheCeV,Default Response Set,Anonymous,,,128.175.109.154,0,5/22/2014 10:31,5/22/2014 10:31,1,1435,1,,,,,,1,2,1,1,20,1,39.5644989,-75.59700012,-1
R_7Or1oo7LckujI0Z,Default Response Set,Anonymous,,,204.235.114.160,0,5/22/2014 10:31,5/22/2014 10:31,1,53706,1,,,1,,,,1,1,1,29,1,35.22709656,-80.8431015,-1
R_cZOeLFwMHVgIBXn,Default Response Set,Anonymous,,,144.118.228.123,0,5/22/2014 10:31,5/22/2014 10:31,1,34410,1,,2,,,,,2,1,1,18,1,39.95970154,-75.19680023,-1
R_6R1IOUncPvgg1Ex,Default Response Set,Anonymous,,,24.168.121.250,0,5/22/2014 10:32,5/22/2014 10:32,1,20068,1,2,,,,,,1,1,2,33,1,40.59579468,-74.15249634,-1
R_cCihLibhsixwXB3,Default Response Set,Anonymous,,,216.8.121.1,0,5/22/2014 10:31,5/22/2014 10:32,1,26701,1,,,,2,,,1,1,1,25,1,41.50740051,-81.6053009,-1
R_03CHMBQ1PGnlxZz,Default Response Set,Anonymous,,,174.27.207.22,0,5/22/2014 10:33,5/22/2014 10:33,1,12772,1,,,2,,,,2,1,2,26,1,40.76080322,-111.891098,-1
R_38k6GTZ1zx0O9PD,Default Response Set,Anonymous,,,128.135.100.107,0,5/22/2014 10:33,5/22/2014 10:34,1,91959,1,,,,1,,,2,1,1,19,1,41.78039551,-87.60269928,-1
R_9QY9pzcuaOMvFCl,Default Response Set,Anonymous,,,208.87.72.38,0,5/22/2014 10:35,5/22/2014 10:35,1,13762,1,,,,3,,,2,1,1,22,1,36.28239441,-88.73809814,-1
R_8ob7GBSuOvmEsBf,Default Response Set,Anonymous,,,32.216.172.117,0,5/22/2014 10:34,5/22/2014 10:37,1,78567,1,,3,,,,,2,1,1,22,1,38,-97,-1
R_9EwV8BvMDXgKkVD,Default Response Set,Anonymous,,,50.37.95.17,0,5/22/2014 10:37,5/22/2014 10:38,1,90579,1,,,,,1,,2,1,1,21,1,46.7171936,-116.9179001,-1
R_d4IxrnyUKabnwLr,Default Response Set,Anonymous,,,66.234.106.2,0,5/22/2014 10:37,5/22/2014 10:38,1,7057,1,1,,,,,,2,1,1,38,1,34.05599976,-84.37950134,-1
R_9p0SzVKWkAv4pXT,Default Response Set,Anonymous,,,173.16.245.86,0,5/22/2014 10:36,5/22/2014 10:38,1,83043,1,,,2,,,,1,1,1,33,1,37.21899414,-93.31759644,-1
R_agekfUulNzebxbv,Default Response Set,Anonymous,,,64.49.95.106,0,5/22/2014 10:38,5/22/2014 10:39,1,37677,1,,,,,3,,1,1,1,28,1,40.59750366,-73.99790192,-1
R_3PFPfVYgYctwZsF,Default Response Set,Anonymous,,,24.101.123.178,0,5/22/2014 10:38,5/22/2014 10:39,1,1916,1,,3,,,,,2,1,1,37,1,39.57539368,-75.92690277,-1
R_20lKlgoNGGIMlEN,Default Response Set,Anonymous,,,68.102.54.228,0,5/22/2014 10:37,5/22/2014 10:39,1,62983,1,,,,2,,,1,1,2,33,1,37.66810608,-97.37000275,-1
R_1ZwYdfs59gAHSId,Default Response Set,Anonymous,,,99.15.93.121,0,5/22/2014 10:38,5/22/2014 10:39,1,90610,1,,,,1,,,2,1,1,29,1,38.8125,-90.35009766,-1
R_74JSYHFNAskWfzf,Default Response Set,Anonymous,,,207.250.182.106,0,5/22/2014 10:39,5/22/2014 10:39,1,27623,1,,,2,,,,1,1,1,31,1,43.03889465,-87.90650177,-1
R_abHrXoN2QVCvMG1,Default Response Set,Anonymous,,,108.66.55.178,0,5/22/2014 10:39,5/22/2014 10:40,1,51986,1,2,,,,,,1,1,2,28,1,42.11030579,-88.03420258,-1
R_8eQzejiGQtptHTL,Default Response Set,Anonymous,,,66.87.93.106,0,5/22/2014 10:40,5/22/2014 10:40,1,82648,1,,,,3,,,1,1,1,31,1,38,-97,-1
R_2uxzLRHcROCQUeN,Default Response Set,Anonymous,,,67.52.216.6,0,5/22/2014 10:16,5/22/2014 10:41,1,55347,1,,,,,3,,1,1,2,44,1,38.96429443,-94.71350098,-1
R_8dCE0aJoQJTkhA9,Default Response Set,Anonymous,,,108.83.89.69,0,5/22/2014 10:40,5/22/2014 10:41,1,71237,1,,1,,,,,1,1,1,36,1,27.24980164,-80.37969971,-1
R_6fzYVCdf6P1Lz5X,Default Response Set,Anonymous,,,157.182.59.19,0,5/22/2014 10:41,5/22/2014 10:42,1,34119,1,,,,,3,,1,1,1,34,1,39.64559937,-79.94329834,-1
R_4PasQYKL0ISpeXr,Default Response Set,Anonymous,,,67.188.157.15,0,5/22/2014 10:42,5/22/2014 10:43,1,66655,1,,,,1,,,1,1,1,45,1,37.57409668,-122.3209991,-1
R_1zFJ3e0qtWiQp5r,Default Response Set,Anonymous,,,164.92.250.24,0,5/22/2014 10:43,5/22/2014 10:44,1,73589,1,,,2,,,,1,1,1,29,1,39.73919678,-104.9847031,-1
R_8qvataB4W8dZPJr,Default Response Set,Anonymous,,,24.170.255.115,0,5/22/2014 10:44,5/22/2014 10:44,1,91343,1,,,,,,2,2,1,2,37,1,39.65400696,-77.64320374,-1
R_enzHxlVuglg0EOp,Default Response Set,Anonymous,,,50.107.76.144,0,5/22/2014 10:44,5/22/2014 10:45,1,563,1,,2,,,,,1,1,2,41,1,43.24859619,-86.13829803,-1
R_eA7zZ2N37GBW6HP,Default Response Set,Anonymous,,,24.98.69.184,0,5/22/2014 10:44,5/22/2014 10:45,1,37459,1,,,,,,1,2,1,1,21,1,33.91879272,-84.06780243,-1
R_5ioSYVocfYSXlS5,Default Response Set,Anonymous,,,108.211.5.52,0,5/22/2014 10:44,5/22/2014 10:45,1,78879,1,,1,,,,,2,1,1,21,1,33.97610474,-118.1535034,-1
R_bxu8IOPocp8eMmN,Default Response Set,Anonymous,,,71.207.248.3,0,5/22/2014 10:44,5/22/2014 10:45,1,86204,1,3,,,,,,2,1,1,33,1,34.76860046,-87.5582962,-1
R_4JFK2kty1LbAQip,Default Response Set,Anonymous,,,96.42.26.134,0,5/22/2014 10:44,5/22/2014 10:45,1,46744,1,,,,,2,,1,1,1,50,1,43.13310242,-89.34909821,-1
R_3RjYPIJtwyJI79X,Default Response Set,Anonymous,,,99.196.53.75,0,5/22/2014 10:44,5/22/2014 10:45,1,15436,1,,,1,,,,1,1,1,26,1,33.94320679,-91.8321991,-1
R_8wb7dJptuOx91Up,Default Response Set,Anonymous,,,174.58.144.79,0,5/22/2014 10:45,5/22/2014 10:46,1,83864,1,,,,,,2,1,1,2,29,1,38.85180664,-94.7786026,-1
R_bKjh2FTkGBsTSa9,Default Response Set,Anonymous,,,146.23.3.249,0,5/22/2014 10:46,5/22/2014 10:47,1,98254,1,,,,,,1,1,1,1,27,1,37.77990723,-121.9779968,-1
R_7WzW42SbbTKq2jz,Default Response Set,Anonymous,,,75.111.36.10,0,5/22/2014 10:46,5/22/2014 10:47,1,74944,1,2,,,,,,1,1,1,31,1,40.80209351,-124.1636963,-1
